Start_Week,End_Week,Actual_WareHouseQuanity,Predicted_WareHouseQuanity,Difference_Between_Predicted_And_Actual
2025-05-05,2025-05-11,1074.0,1435.9119750098066,361.9119750098066
2025-05-12,2025-05-18,1136.0,1311.9868091422552,175.9868091422552
2025-05-19,2025-05-25,1504.0,1418.4132338652266,-85.58676613477337
2025-05-26,2025-06-01,1718.0,1571.2099693435548,-146.7900306564452
2025-06-02,2025-06-08,1236.0,1564.9883091538409,328.9883091538409
2025-06-09,2025-06-15,1788.0,1395.3307813514937,-392.66921864850633
2025-06-16,2025-06-22,1260.0,1215.2821260063079,-44.71787399369214
2025-06-23,2025-06-29,1252.0,1127.51874344581,-124.48125655418994
